"","gutenberg_id","text"
"185",16,"can't) you would see your own mother doing this, and you would find it"
"186",16,"very interesting to watch her. It is quite like tidying up drawers. You"
"187",16,"would see her on her knees, I expect, lingering humorously over some of"
"188",16,"your contents, wondering where on earth you had picked this thing up,"
"189",16,"making discoveries sweet and not so sweet, pressing this to her cheek as"
"190",16,"if it were as nice as a kitten, and hurriedly stowing that out of sight."
"191",16,"When you wake in the morning, the naughtiness and evil passions with"
"192",16,"which you went to bed have been folded up small and placed at the bottom"
"193",16,"of your mind and on the top, beautifully aired, are spread out your"
"194",16,"prettier thoughts, ready for you to put on."
"195",16,""
"196",16,"I don't know whether you have ever seen a map of a person's mind."
"197",16,"Doctors sometimes draw maps of other parts of you, and your own map can"
"198",16,"become intensely interesting, but catch them trying to draw a map of a"
"199",16,"child's mind, which is not only confused, but keeps going round all"
"200",16,"the time. There are zigzag lines on it, just like your temperature on a"
"201",16,"card, and these are probably roads in the island, for the Neverland is"
"202",16,"always more or less an island, with astonishing splashes of colour here"
"203",16,"and there, and coral reefs and rakish-looking craft in the offing, and"
"204",16,"savages and lonely lairs, and gnomes who are mostly tailors, and caves"
"205",16,"through which a river runs, and princes with six elder brothers, and a"
"206",16,"hut fast going to decay, and one very small old lady with a hooked nose."
"207",16,"It would be an easy map if that were all, but there is also first day"
"208",16,"at school, religion, fathers, the round pond, needle-work, murders,"
"209",16,"hangings, verbs that take the dative, chocolate pudding day, getting"
"210",16,"into braces, say ninety-nine, three-pence for pulling out your tooth"
"211",16,"yourself, and so on, and either these are part of the island or they are"
"212",16,"another map showing through, and it is all rather confusing, especially"
"213",16,"as nothing will stand still."
"214",16,""
"215",16,"Of course the Neverlands vary a good deal. John's, for instance, had a"
"216",16,"lagoon with flamingoes flying over it at which John was shooting, while"
"217",16,"Michael, who was very small, had a flamingo with lagoons flying over"
"218",16,"it. John lived in a boat turned upside down on the sands, Michael in"
"219",16,"a wigwam, Wendy in a house of leaves deftly sewn together. John had no"
"220",16,"friends, Michael had friends at night, Wendy had a pet wolf forsaken by"
"221",16,"its parents, but on the whole the Neverlands have a family resemblance,"
"222",16,"and if they stood still in a row you could say of them that they have"
